championship_name,event__name,round_name,rank,bib,nme,noc,total
2025 Asian Championship,10M Air Pistol Men,Final,1,1056,HU Kai,CHN,241.6
2025 Asian Championship,10M Air Pistol Men,Final,2,1514,HONG Suhyeon,KOR,239.0
2025 Asian Championship,10M Air Pistol Men,Final,3,1309,JOHARIKHOU Amir,IRI,216.8
2025 Asian Championship,10M Air Pistol Men,Final,4,1441,RAKHIMZHAN Valeriy,KAZ,195.1
2025 Asian Championship,10M Air Pistol Men,Final,5,1848,KAMALOV Mukhammad,UZB,173.3
2025 Asian Championship,10M Air Pistol Men,Final,6,1213,JAIN Anmol,IND,155.1
2025 Asian Championship,10M Air Pistol Men,Final,7,1645,WONG Guanjie Johnathan,MAS,134.8
2025 Asian Championship,10M Air Pistol Men,Final,8,1803,HSIEH Hsiang-Chen,TPE,115.1
2025 Asian Championship,10M Air Pistol Men,Qualification,1,1248,SHARMA Amit,IND,588-24x
2025 Asian Championship,10M Air Pistol Men,Qualification,2,1441,RAKHIMZHAN Valeriy,KAZ,585-27x
2025 Asian Championship,10M Air Pistol Men,Qualification,3,1056,HU Kai,CHN,585-23x
2025 Asian Championship,10M Air Pistol Men,Qualification,4,1272,TOMAR Varun,IND,584-24x
2025 Asian Championship,10M Air Pistol Men,Qualification,5,1309,JOHARIKHOU Amir,IRI,582-27x
2025 Asian Championship,10M Air Pistol Men,Qualification,6,1645,WONG Guanjie Johnathan,MAS,581-27x
2025 Asian Championship,10M Air Pistol Men,Qualification,7,1803,HSIEH Hsiang-Chen,TPE,581-18x
2025 Asian Championship,10M Air Pistol Men,Qualification,8,1514,HONG Suhyeon,KOR,580-22x
2025 Asian Championship,10M Air Pistol Men,Qualification,9,1213,JAIN Anmol,IND,580-17x
2025 Asian Championship,10M Air Pistol Men,Qualification,10,1848,KAMALOV Mukhammad,UZB,580-17x
2025 Asian Championship,10M Air Pistol Men,Qualification,11,1308,GOLKHANDAN Vahid,IRI,580-17x
2025 Asian Championship,10M Air Pistol Men,Qualification,12,1069,YOU Changjie,CHN,580-12x
2025 Asian Championship,10M Air Pistol Men,Qualification,13,1228,MALRA Aditya,IND,579-20x
2025 Asian Championship,10M Air Pistol Men,Qualification,14,1071,ZHANG Yifan,CHN,579-16x
2025 Asian Championship,10M Air Pistol Men,Qualification,15,1858,SVECHNIKOV Vladimir,UZB,578-21x
2025 Asian Championship,10M Air Pistol Men,Qualification,16,1540,LEE Wonho,KOR,578-17x
2025 Asian Championship,10M Air Pistol Men,Qualification,17,1807,LIN Wei-Chieh,TPE,578-12x
2025 Asian Championship,10M Air Pistol Men,Qualification,18,1699,JOSEPH Gulfam,PAK,577-22x
2025 Asian Championship,10M Air Pistol Men,Qualification,19,1327,NAKAYAMA Junnosuke,JPN,576-17x
2025 Asian Championship,10M Air Pistol Men,Qualification,20,1326,IWASA Masaki,JPN,576-16x
2025 Asian Championship,10M Air Pistol Men,Qualification,21,1194,CHAUDHARY Saurabh,IND,576-15x
