championship_name,event__name,round_name,rank,bib,nme,noc,total
2023 Asian Championship,10M Air Pistol Men,Final,1,1093,ZHANG Yifan,CHN,243.7
2023 Asian Championship,10M Air Pistol Men,Final,2,1056,LIU Jinyao,CHN,242.1
2023 Asian Championship,10M Air Pistol Men,Final,3,1258,SINGH Sarabjot,IND,221.1
2023 Asian Championship,10M Air Pistol Men,Final,4,1694,WONG Guanjie Johnathan,MAS,201.1
2023 Asian Championship,10M Air Pistol Men,Final,5,1929,SVECHNIKOV Vladimir,UZB,180.1
2023 Asian Championship,10M Air Pistol Men,Final,6,1407,RAKHIMZHAN Valeriy,KAZ,157.4
2023 Asian Championship,10M Air Pistol Men,Final,7,1486,HONG Suhyeon,KOR,137.0
2023 Asian Championship,10M Air Pistol Men,Final,8,1585,LIM ii Hojin,KOR,116.8
2023 Asian Championship,10M Air Pistol Men,Final,1,1093,ZHANG Yifan,CHN,587-28x
2023 Asian Championship,10M Air Pistol Men,Final,2,1407,RAKHIMZHAN Valeriy,KAZ,586-26x
2023 Asian Championship,10M Air Pistol Men,Final,3,1585,LIM Hojin,KOR,583-21x
2023 Asian Championship,10M Air Pistol Men,Final,4,1486,HONG Suhyeon,KOR,582-22x
2023 Asian Championship,10M Air Pistol Men,Final,5,1929,SVECHNIKOV Vladimir,UZB,582-22x
2023 Asian Championship,10M Air Pistol Men,Final,6,1056,LIU Jinyao,CHN,582-21x
2023 Asian Championship,10M Air Pistol Men,Final,7,1694,WONG Guanjie Johnathan,MAS,82-20x
2023 Asian Championship,10M Air Pistol Men,Final,8,1258,SINGH Sarabjot,IND,581-26x
2023 Asian Championship,10M Air Pistol Men,Final,9,1952,PHAM Quang Huy,VIE,581-24x
2023 Asian Championship,10M Air Pistol Men,Final,10,1764,JOSEPH Gulfam,PAK,581-22x
2023 Asian Championship,10M Air Pistol Men,Final,12,1089,ZHANG Bowen,CHN,581-16x
2023 Asian Championship,10M Air Pistol Men,Final,14,1939,LAI Cong Minh,VIE,578-19x
2023 Asian Championship,10M Air Pistol Men,Final,15,1306,POORHOSSEINI LAFMEJANI Sajad,IRI,578-17x
2023 Asian Championship,10M Air Pistol Men,Final,16,1271,TOMAR Varun,IND,578-15x
2023 Asian Championship,10M Air Pistol Men,Final,17,1217,RANA Kunal,IND,577-21x
2023 Asian Championship,10M Air Pistol Men,Final,18,1953,PHAN Cong Minh,VIE,577-19x
2023 Asian Championship,10M Air Pistol Men,Final,19,1299,GOLKHANDAN Vahid,IRI,577-17x
2023 Asian Championship,10M Air Pistol Men,Final,20,1207,NARWAL Shiva,IND,576-19x
2023 Asian Championship,10M Air Pistol Men,Final,21,1331,MORIKAWA Seiji,JPN,575-18x
2023 Asian Championship,10M Air Pistol Men,Final,22,1450,TOKMOKOV Askat,KGZ,574-17x
2023 Asian Championship,10M Air Pistol Men,Final,23,1324,IWASA Masaki,JPN,574-16x
2023 Asian Championship,10M Air Pistol Men,Final,24,1375,IMANKULOV Eldar,KAZ,574-15x
2023 Asian Championship,10M Air Pistol Men,Final,25,1117,SUKMANA Wira,INA,574-14x
2023 Asian Championship,10M Air Pistol Men,Final,26,1300,JOHARIKHOU Amir,IRI,574-12x
2023 Asian Championship,10M Air Pistol Men,Final,27,1634,ALANAZI Atallah Nidaa K,KSA,573-19x
2023 Asian Championship,10M Air Pistol Men,Final,28,1531,KIM Ki Hyeon,KOR,573-16x
2023 Asian Championship,10M Air Pistol Men,Final,29,1854,SUDKHET Kiettikul,THA,573-11x
2023 Asian Championship,10M Air Pistol Men,Final,30,1657,AL NMSHAN Hamad,KUW,572-18x
2023 Asian Championship,10M Air Pistol Men,Final,32,1116,PRABOWA Muhamad Iqbal Raia,INA,570-11x
2023 Asian Championship,10M Air Pistol Men,Final,33,1467,CHOE Boram,KOR,570-10x
2023 Asian Championship,10M Air Pistol Men,Final,34,1871,CHANG Lu,TPE,569-21x
2023 Asian Championship,10M Air Pistol Men,Final,35,1237,SAURABH Chaudhary,IND,569-16x
