championship_name,event__name,round_name,rank,name,dob,score
2018 Asian Games,10m Air Rifle Men,Final,1,YANG Haoran,22 FEB 1996,249.1
2018 Asian Games,10m Air Rifle Men,Final,2,KUMAR Deepak,5 NOV 1987,247.7
2018 Asian Games,10m Air Rifle Men,Final,3,LU Shaochuan,24 MAR 1997,226.8
2018 Asian Games,10m Air Rifle Men,Final,4,KUMAR Ravi,1 JAN 1990,205.2
2018 Asian Games,10m Air Rifle Men,Final,5,SONG Soojoo,24 SEP 1991,184.4
2018 Asian Games,10m Air Rifle Men,Final,6,HUI Zicheng,2 JUN 1989,163.0
2018 Asian Games,10m Air Rifle Men,Final,7,NEKOUNAM A,15 JUL 1998,141.4
2018 Asian Games,10m Air Rifle Men,Final,8,SKOROVAROV Vadim,4 AUG 1996,119.9
2018 Asian Games,10m Air Rifle Men,Qualification,1,YANG Haoran,22 FEB 1996,632.9
2018 Asian Games,10m Air Rifle Men,Qualification,2,SONG Soojoo,24 SEP 1991,629.7
2018 Asian Games,10m Air Rifle Men,Qualification,3,HUI Zicheng,2 JUN 1989,627.2
2018 Asian Games,10m Air Rifle Men,Qualification,4,KUMAR Ravi,1 JAN 1990,626.7
2018 Asian Games,10m Air Rifle Men,Qualification,5,DEEPAK KUMAR,5 NOV 1987,626.3
2018 Asian Games,10m Air Rifle Men,Qualification,6,NEKOUNAM Amirmohammad,15 JUL 1998,625.7
2018 Asian Games,10m Air Rifle Men,Qualification,7,LU Shaochuan,24 MAR 1997,625.2
2018 Asian Games,10m Air Rifle Men,Qualification,8,SKOROVAROV Vadim,4 AUG 1996,624.5
2018 Asian Games,10m Air Rifle Men,Qualification,9,HAJI Mahmood,11 MAR 1991,623.6
2018 Asian Games,10m Air Rifle Men,Qualification,10,KIM Hyeonjun,18 OCT 1992,623.5
2018 Asian Games,10m Air Rifle Men,Qualification,11,OKADA Naoya,10 OCT 1990,623.3
2018 Asian Games,10m Air Rifle Men,Qualification,12,ZOLFAGHARIAN Amirsiyavash,,623.1
2018 Asian Games,10m Air Rifle Men,Qualification,13,BIN ABDUL RAHMAN,,622.1
2018 Asian Games,10m Air Rifle Men,Qualification,14,PANYATONG Pongsaton,25 MAR 1996,621.3
2018 Asian Games,10m Air Rifle Men,Qualification,15,SHIMADA Atsushi,20 JUL 1998,621.0
2018 Asian Games,10m Air Rifle Men,Qualification,16,TORTUNGPANICH Napis,29 MAR 1995,619.4
2018 Asian Games,10m Air Rifle Men,Qualification,17,VALDEZ Jayson,15 SEP 1995,618.6
2018 Asian Games,10m Air Rifle Men,Qualification,18,YURKOV Yuriy,11 MAR 1983,618.5
2018 Asian Games,10m Air Rifle Men,Qualification,19,BAKI Abdullah Hel,1 AUG 1989,618.4
2018 Asian Games,10m Air Rifle Men,Qualification,20,ALI Husain,30 AUG 1988,617.7
2018 Asian Games,10m Air Rifle Men,Qualification,21,ALAMMARI Mesfer Aboud,15 SEP 1987,617.3
2018 Asian Games,10m Air Rifle Men,Qualification,22,GUSTAFIAN Fathur,21 AUG 1998,617.2
2018 Asian Games,10m Air Rifle Men,Qualification,23,MAHARDIKA Muhammad Naufal,,617.2
2018 Asian Games,10m Air Rifle Men,Qualification,24,ALHARBI Hussain Ghuwayli,,616.8
2018 Asian Games,10m Air Rifle Men,Qualification,25,ADIL Ghufran,8 DEC 1993,616.8
2018 Asian Games,10m Air Rifle Men,Qualification,26,SNG Jian Hui,24 MAR 1998,616.6
2018 Asian Games,10m Air Rifle Men,Qualification,27,KLEIMYONOV Alexey,9 JAN 1984,616.4
2018 Asian Games,10m Air Rifle Men,Qualification,28,OTHMAN Mohamad Lutfi,6 NOV 1994,614.3
2018 Asian Games,10m Air Rifle Men,Qualification,29,ISLAM Risalatul,4 MAY 1996,614.3
2018 Asian Games,10m Air Rifle Men,Qualification,30,NGUYEN Duy Hoang,5 AUG 1985,612.6
2018 Asian Games,10m Air Rifle Men,Qualification,31,FARID Zeeshan Ul Shakir,,611.1
2018 Asian Games,10m Air Rifle Men,Qualification,32,ISSAM BADAR DOSHA.,,611.1
2018 Asian Games,10m Air Rifle Men,Qualification,33,NGUYEN Thanh Nam,6 APR 1992,610.8
2018 Asian Games,10m Air Rifle Men,Qualification,34,VALIEV Todzhiddin,18 SEP 1982,610.0
2018 Asian Games,10m Air Rifle Men,Qualification,35,AL,30 DEC 1997,609.9
2018 Asian Games,10m Air Rifle Men,Qualification,36,KHALIL Ibrahim,21 JAN 2002,608.7
2018 Asian Games,10m Air Rifle Men,Qualification,37,ALHEFEITI Ahmed,18 MAY 2001,608.2
2018 Asian Games,10m Air Rifle Men,Qualification,38,RYONG Song Gang,1 JUL 1986,606.7
2018 Asian Games,10m Air Rifle Men,Qualification,39,NYANTAI Bayaraa,25 SEP 1991,604.0
2018 Asian Games,10m Air Rifle Men,Qualification,40,AL-MUHANNADI Ali,3 OCT 1990,603.8
2018 Asian Games,10m Air Rifle Men,Qualification,41,ABDULLA Mohamed,14 APR 1977,595.2
2018 Asian Games,10m Air Rifle Men,Qualification,42,CHAUDHARY Sushe,25 FEB 1987,581.0
2018 Asian Games,10m Air Rifle Men,Qualification,43,MOHAMED YAANIU Ahmed,27 AUG 2000,563.2
2018 Asian Games,10m Air Rifle Men,Qualification,44,da SILVA Nelson Francisco Cirilio,,477.3
2018 Asian Games,50m Rifle 3 Positions Men,Final,1,HUI Zicheng,2 JUN 1989,453.3
