championship_name,event_name,round_name,state,rank,name,total
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,MAH,I,YASHWNAT SANJAYMAMA SHINDE,44
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,II,RIPUDAMAN SINGH,44
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,III,BHANU PRATAP SINGH,42
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,IV,PRITHVIRAJ SINGH RATHORE,42
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,DEL,V,ROHIT CHOUDHARY,41
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.P.,VI,SIDDHARTH PRATAP SINGH,41
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,MAH,VII,ADITYA SANJAY MORE,41
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,VIII,ABBAD SAIDI,41
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,DEL,9,TARUN YADAV,41
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,H.P.,10,AVNEET SINGH SAHOTA,40
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,GUJ,11,MOHAMMED ILAHEEN MOHAMMED TAHIR SHAIKH,40
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,T.N.,12,GANESH PRABHU C,40
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,13,UDHAV SINGH RATHORE,40
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.P.,14,JITENDRA SINGH CHAUHAN,39
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,PUN,15,BHAI SHIRAZ SINGH SIDHU,39
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,16,HAINES CHOUDHARY,39
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,MAH,17,RALSTON PETER COELHO,39
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.P.,18,ADITYA SINGH,38
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,19,SHAIKH MOHAMMED KHALIL,38
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.P.,20,TAIB ALI,38
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,21,JAIPAL SINGH RANAWAT,38
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,HAR,22,MOHIT PARASHAR,38
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,ORI,23,ROHIT UPADHYAY,37
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.P.,24,ASGHAR ALI,37
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,MAH,25,HARSH DEV CHANDEL,36
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.P.,26,DAVESH KANT SINGH,36
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,HAR,27,PRIKSHIT ARYA,36
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,28,SHAKTI SINGH,36
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,M.P.,29,ARYAN DESHMUKH KHONGWAR,35
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,MAH,30,RAJENDRASINGH BHONSLE,35
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,MAH,31,VISHWAJEET VINAYAKRAO JADHAV,35
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,MAH,32,AMEY SANJAY NIKAM,35
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,T.N.,33,SUHAND BARNABAS,35
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,H.P.,34,AJAY VIR SINGH GILL,34
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.K.,35,VIRAJ CHAUDHARY,34
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,M.P.,36,SYED AHYAAN ALI,34
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,37,STANLEY KAVIN GRUNDY,33
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,GUJ,38,VASANT SURESH PATEL,33
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,39,IQBAL KHAN,33
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.P.,40,MUNEER -UR- RAHMAN,33
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.P.,41,YUVRAJ SINGH,33
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,42,MOHAMMAED SHARUKH,33
