championship_name,event_name,round_name,state,rank,name,total
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,MAH,I,YASHWNAT SANJAYMAMA SHINDE,1
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,II,RIPUDAMAN SINGH,0
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,III,BHANU PRATAP SINGH,0
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,IV,PRITHVIRAJ SINGH RATHORE,0
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,DEL,V,ROHIT CHOUDHARY,0
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.P.,VI,SIDDHARTH PRATAP SINGH,0
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,MAH,VII,ADITYA SANJAY MORE,0
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,VIII,ABBAD SAIDI,0
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,DEL,C,TARUN YADAV,9
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,H.P.,C,AVNEET SINGH SAHOTA,10
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,GUJ,C,MOHAMMED ILAHEEN MOHAMMED TAHIR SHAIKH,11
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,T.N.,C,GANESH PRABHU C,12
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,C,UDHAV SINGH RATHORE,13
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.P.,C,JITENDRA SINGH CHAUHAN,14
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,PUN,C,BHAI SHIRAZ SINGH SIDHU,15
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,C,HAINES CHOUDHARY,16
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,MAH,C,RALSTON PETER COELHO SHOTGUN JAIPUR,17
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.P.,C,ADITYA SINGH,18
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,C,SHAIKH MOHAMMED KHALIL,19
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.P.,C,TAIB ALI,20
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,C,JAIPAL SINGH RANAWAT,21
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,HAR,C,MOHIT PARASHAR,22
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,ORI,C,ROHIT UPADHYAY,23
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.P.,C,ASGHAR ALI,24
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,MAH,C,HARSH DEV CHANDEL,25
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.P.,C,DAVESH KANT SINGH,26
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,HAR,C,PRIKSHIT ARYA,27
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,C,SHAKTI SINGH,28
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,M.P.,C,ARYAN DESHMUKH KHONGWAR,29
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,MAH,C,RAJENDRASINGH BHONSLE,30
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,MAH,C,VISHWAJEET VINAYAKRAO JADHAV,31
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,MAH,C,AMEY SANJAY NIKAM,32
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,T.N.,C,SUHAND BARNABAS,33
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,H.P.,C,AJAY VIR SINGH GILL,34
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,U.K.,C,VIRAJ CHAUDHARY,35
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,M.P.,C,SYED AHYAAN ALI,36
31ST ALL INDIA G. V. MAVALANKAR SHOOTING CHAMPIONSHIP,(A-73) CLAY PIGEON TRAP SHOOTING (NR) CHAMPIONSHIP MEN (INDIVIDUAL),,RAJ,C,STANLEY KAVIN GRUNDY,37
