championship_name,event__name,round_name,rank,bib,nme,noc,total
2023 World Championship,10M Air Pistol Men,Final,1,1280,ZHANG Bowen,CHN,244.3
2023 World Championship,10M Air Pistol Men,Final,2,2455,MIKEC Damir,SRB,240.8
2023 World Championship,10M Air Pistol Men,Final,3,1210,KIROV Kiril,BUL,215.7
2023 World Championship,10M Air Pistol Men,Final,4,2609,KELES Ismail,TUR,197.5
2023 World Championship,10M Air Pistol Men,Final,5,1265,LIU Junhui,CHN,176.4
2023 World Championship,10M Air Pistol Men,Final,6,2481,SOLARI Jason,SUI,157.8
2023 World Championship,10M Air Pistol Men,Final,7,1205,DONKOV Samuil,BUL,138.2
2023 World Championship,10M Air Pistol Men,Final,8,1619,WALTER Robin ASC Asian Championships Bib No Bib Number Nat Nation Rk Rank WR World Record,GER,116.4
2023 World Championship,10M Air Pistol Men,Qualification,1,1280,ZHANG Bowen,CHN,587-23x
2023 World Championship,10M Air Pistol Men,Qualification,2,1619,WALTER Robin,GER,586-24x
2023 World Championship,10M Air Pistol Men,Qualification,3,2481,SOLARI Jason,SUI,585-21x
2023 World Championship,10M Air Pistol Men,Qualification,4,2455,MIKEC Damir,SRB,583-25x
2023 World Championship,10M Air Pistol Men,Qualification,5,1210,KIROV Kiril,BUL,582-25x
2023 World Championship,10M Air Pistol Men,Qualification,6,1265,LIU Junhui,CHN,582-23x
2023 World Championship,10M Air Pistol Men,Qualification,7,2609,KELES Ismail,TUR,582-20x
2023 World Championship,10M Air Pistol Men,Qualification,8,1205,DONKOV Samuil,BUL,582-20x
2023 World Championship,10M Air Pistol Men,Qualification,9,2044,VASERMANIS Emils,LAT,582-18x
2023 World Championship,10M Air Pistol Men,Qualification,10,1981,LEE Wonho,KOR,581-21x
2023 World Championship,10M Air Pistol Men,Qualification,11,1612,SCHWALD Michael,GER,581-20x
2023 World Championship,10M Air Pistol Men,Qualification,12,2717,KAMALOV Mukhammad,UZB,581-19x
2023 World Championship,10M Air Pistol Men,Qualification,13,2042,STRAUTMANIS Lauris,LAT,581-18x
2023 World Championship,10M Air Pistol Men,Qualification,14,1276,XIE Yu,CHN,580-25x
2023 World Championship,10M Air Pistol Men,Qualification,15,2642,BANKIN Viktor,UKR,579-17x
2023 World Championship,10M Air Pistol Men,Qualification,16,1959,HAN Seungwoo,KOR,579-16x
2023 World Championship,10M Air Pistol Men,Qualification,17,1723,NARWAL Shiva,IND,579-14x
2023 World Championship,10M Air Pistol Men,Qualification,18,1742,SINGH Sarabjot,IND,578-23x
2023 World Championship,10M Air Pistol Men,Qualification,19,1827,MALDINI Federico Nilo,ITA,578-21x
2023 World Championship,10M Air Pistol Men,Qualification,20,1689,PRABOWA Muhamad Iqbal Raia,INA,578-19x
2023 World Championship,10M Air Pistol Men,Qualification,21,2616,SELIMZADE Bugra,TUR,578-19x
2023 World Championship,10M Air Pistol Men,Qualification,22,1829,MONNA Paolo,ITA,578-18x
2023 World Championship,10M Air Pistol Men,Qualification,23,1766,JOHARIKHOU Amir,IRI,578-18x
