championship_name,event__name,round_name,rank,bib,nme,noc,total
2022 World Championship,10M Air Pistol Men,Gold Medal Match,1,1179,LIU Jinyao,CHN,17
2022 World Championship,10M Air Pistol Men,Gold Medal Match,2,1210,ZHANG Yifan,CHN,15
2022 World Championship,10M Air Pistol Men,Ranking Match,1,1210,ZHANG Yifan,CHN,254.2
2022 World Championship,10M Air Pistol Men,Ranking Match,2,1179,LIU Jinyao,CHN,252.5
2022 World Championship,10M Air Pistol Men,Ranking Match,3,2366,KOROSTYLOV Pavlo,UKR,251.0
2022 World Championship,10M Air Pistol Men,Ranking Match,4,1820,LEE Wonho,KOR,250.7
2022 World Championship,10M Air Pistol Men,Ranking Match,5,1206,ZHANG Bowen,CHN,200.0
2022 World Championship,10M Air Pistol Men,Ranking Match,6,2061,JOSEPH Gulfam,PAK,198.4
2022 World Championship,10M Air Pistol Men,Ranking Match,7,2357,BANKIN Viktor,UKR,148.1
2022 World Championship,10M Air Pistol Men,Ranking Match,8,1611,NARWAL Shiva,IND,147.6
2022 World Championship,10M Air Pistol Men,Qualification,1,1210,ZHANG Yifan,CHN,589-23x
2022 World Championship,10M Air Pistol Men,Qualification,2,1206,ZHANG Bowen,CHN,587-21x
2022 World Championship,10M Air Pistol Men,Qualification,3,2061,JOSEPH Gulfam,PAK,586-26x
2022 World Championship,10M Air Pistol Men,Qualification,4,2366,KOROSTYLOV Pavlo,UKR,584-21x
2022 World Championship,10M Air Pistol Men,Qualification,5,2357,BANKIN Viktor,UKR,583-26x
2022 World Championship,10M Air Pistol Men,Qualification,6,1611,NARWAL Shiva,IND,583-25x
2022 World Championship,10M Air Pistol Men,Qualification,7,1179,LIU Jinyao,CHN,582-23x
2022 World Championship,10M Air Pistol Men,Qualification,8,1820,LEE Wonho,KOR,582-20x
2022 World Championship,10M Air Pistol Men,Qualification,9,1612,NAVEEN Naveen,IND,582-19x
2022 World Championship,10M Air Pistol Men,Qualification,10,1662,POORHOSSEINI LAFMEJANI Sajad,IRI,581-26x
