championship_name,event__name,round_name,rank,bib,nme,noc,total
2022 Shotgun World Championship,Trap Mixed Team Junior,Qualification,22,1402,KOUNADINI Angeliki,GRE,110(52)
2022 Shotgun World Championship,Trap Mixed Team Junior,Qualification,22,1406,TRAVLOS Eleftherios,GRE,110(58)
2022 Shotgun World Championship,Trap Mixed Team Junior,Qualification,23,1726,FOSS Natalie,NZL,110(55)
2022 Shotgun World Championship,Trap Mixed Team Junior,Qualification,23,1728,HUTT Nicholas Aston Liddiard,NZL,110(55)
2022 Shotgun World Championship,Trap Mixed Team Junior,Qualification,23,1934,AYDEMIR Nisa Nur,NZL,110(DNS)
2022 Shotgun World Championship,Trap Mixed Team Junior,Qualification,23,1942,KETEN Vekil Ege,NZL,110(DNS)
2022 Shotgun World Championship,Trap Team Men Junior,Gold Medal Match,1,,TYAGI Arya Vansh,,6
2022 Shotgun World Championship,Trap Team Men Junior,Gold Medal Match,1,,BHARADWAJ Shapath,,6
2022 Shotgun World Championship,Trap Team Men Junior,Gold Medal Match,1,,VIHAN Shardul,,6
2022 Shotgun World Championship,Trap Team Men Junior,Gold Medal Match,2,,IEZZI Emanuele,,4
2022 Shotgun World Championship,Trap Team Men Junior,Gold Medal Match,2,,BARLETTA Gianmarco,,4
2022 Shotgun World Championship,Trap Team Men Junior,Gold Medal Match,2,,ANTONIOLI Edoardo,,4
2022 Shotgun World Championship,Trap Team Men Junior,Bronze Medal Match,1,,THOMPSON Lance Patrick,,6
2022 Shotgun World Championship,Trap Team Men Junior,Bronze Medal Match,1,,KUTZ Matthew Christian,,6
2022 Shotgun World Championship,Trap Team Men Junior,Bronze Medal Match,1,,CARVALHO Emilio Ernest,,6
2022 Shotgun World Championship,Trap Team Men Junior,Bronze Medal Match,2,,GARCIA Andres,,0
2022 Shotgun World Championship,Trap Team Men Junior,Bronze Medal Match,2,,FERNANDEZ DE VICENTE Daniel,,0
2022 Shotgun World Championship,Trap Team Men Junior,Bronze Medal Match,2,,GARCIA Juan Antonio,,0
2022 Shotgun World Championship,Trap Team Men Junior,Qualification,1,1492,ANTONIOLI Edoardo,ITA,206
2022 Shotgun World Championship,Trap Team Men Junior,Qualification,1,1494,BARLETTA Gianmarco,ITA,206
2022 Shotgun World Championship,Trap Team Men Junior,Qualification,1,1507,|EZZI Emanuele,ITA,206
2022 Shotgun World Championship,Trap Team Men Junior,Qualification,2,1469,VIHAN Shardul,IND,205+2
2022 Shotgun World Championship,Trap Team Men Junior,Qualification,2,1445,BHARADWAJ Shapath,IND,205+2
2022 Shotgun World Championship,Trap Team Men Junior,Qualification,2,1468,TYAGI Arya Vansh,IND,205+2
2022 Shotgun World Championship,Trap Team Men Junior,Qualification,3,2000,THOMPSON Lance Patrick,USA,205+0
2022 Shotgun World Championship,Trap Team Men Junior,Qualification,3,1982,CARVALHO Emilio Ernest,USA,205+0
2022 Shotgun World Championship,Trap Team Men Junior,Qualification,3,1989,KUTZ Matthew Christian,USA,205+0
2022 Shotgun World Championship,Trap Team Men Junior,Qualification,4,1258,FERNANDEZ DE VICENTE Daniel,ESP,204
2022 Shotgun World Championship,Trap Team Men Junior,Qualification,4,1261,GARCIA Juan Antonio,ESP,204
2022 Shotgun World Championship,Trap Team Men Junior,Qualification,4,1260,GARCIA Andres,ESP,204
2022 Shotgun World Championship,Trap Team Men Junior,Qualification,5,1143,DU Zeming,CHN,202
2022 Shotgun World Championship,Trap Team Men Junior,Qualification,5,1144,DU Zian,CHN,202
2022 Shotgun World Championship,Trap Team Men Junior,Qualification,5,1141,CHENG Ziang,CHN,202
2022 Shotgun World Championship,Trap Team Men Junior,Qualification,6,1350,KILLIAN Benjamin Thomas,GBR,199
2022 Shotgun World Championship,Trap Team Men Junior,Qualification,6,1337,BETTS Thomas William,GBR,199
2022 Shotgun World Championship,Trap Team Men Junior,Qualification,6,1349,HYDE Lucas Michael,GBR,199
2022 Shotgun World Championship,Trap Team Men Junior,Qualification,7,1539,BEDAREV Maksim,KAZ,199
2022 Shotgun World Championship,Trap Team Men Junior,Qualification,7,1544,KONCHENKO Bogdan,KAZ,199
2022 Shotgun World Championship,Trap Team Men Junior,Qualification,7,1546,MOISSEYEV Nikita,KAZ,199
2022 Shotgun World Championship,Trap Women Junior,Ranking Match 1,1,1030,DEAN Kiara Sioux-Lin,AUS,21
2022 Shotgun World Championship,Trap Women Junior,Ranking Match 1,2,1028,COLLINS Breanna Maree Dowse,AUS,20
2022 Shotgun World Championship,Trap Women Junior,Ranking Match 1,3,1296,NUMMELA Sara Silja Patricia,FIN,18
2022 Shotgun World Championship,Trap Women Junior,Ranking Match 1,4,1160,ZHANG Zixi,CHN,7
2022 Shotgun World Championship,Trap Women Junior,Ranking Match 2,1,1147,HAN Ting,CHN,19
2022 Shotgun World Championship,Trap Women Junior,Ranking Match 2,2,1256,BAENA SEDANO Africa,ESP,19
2022 Shotgun World Championship,Trap Women Junior,Ranking Match 2,3,1212,HRDLICKOVA Zina,CZE,17
2022 Shotgun World Championship,Trap Women Junior,Ranking Match 2,4,1993,PHILLIPS Ryann Paige,USA,10
2022 Shotgun World Championship,Trap Women Junior,Qualification,1,1296,NUMMELA Sara Silja Patricia,FIN,116
2022 Shotgun World Championship,Trap Women Junior,Qualification,2,1147,HAN Ting,CHN,112
2022 Shotgun World Championship,Trap Women Junior,Qualification,3,1030,DEAN Kiara Sioux-Lin,AUS,110
2022 Shotgun World Championship,Trap Women Junior,Qualification,4,1256,BAENA SEDANO Africa,ESP,109+4
2022 Shotgun World Championship,Trap Women Junior,Qualification,5,1028,COLLINS Breanna Maree Dowse,AUS,109+3
2022 Shotgun World Championship,Trap Women Junior,Qualification,6,1212,HRDLICKOVA Zina,CZE,108
2022 Shotgun World Championship,Trap Women Junior,Qualification,7,1160,ZHANG Zixi,CHN,107
2022 Shotgun World Championship,Trap Women Junior,Qualification,8,1993,PHILLIPS Ryann Paige,USA,106
